Visit #,Start Time,End Time,Ship,Length Of Stay,Ship Type,Cargo Type Name,Visit Shipping Line Name,Stevedore,GT,LOA,Arrival Berth Name,Arrival Berth Code,Departure Berth Name,Departure Berth Code
PEV-18-001862,5/30/18 15:50,6/1/18 23:00,HOHEBANK,2d7h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",9996,456.3871,17,17,17,17
PEV-18-001775,5/30/18 20:25,6/2/18 2:25,IVS CRIMSON CREEK,2d6h,BULK CARRIER,GYPSUM,SCB International,"Host Terminals, LLC",32750,623.1603,5,5,5,5
PEV-18-001836,5/30/18 22:15,6/1/18 16:25,GOLDEN STATE,1d18h,TANKER,PETROLEUM,"Crowley Petroleum Transport, Inc.",Valero Marketing & Supply Co.,29527,600.423,13,13,13,13
PEV-18-001855,5/31/18 1:00,6/1/18 14:10,YACHT EXPRESS,1d13h,HEAVY-LOAD CARRIER,YACHTS FLOAT ON-OFF,EXPRESS SHIPPING NV,"Host Terminals, LLC",17951,685.3681,29,29,29,29
PEV-18-001861,5/31/18 3:50,6/2/18 6:35,ROTHORN,2d3h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",12029,515.5107,32,32,33A,33A
PEV-18-001928,5/31/18 8:25,6/1/18 8:15,SCARLETT ISABELLA,24h,RESEARCH,RESEARCH/GOVERMENT,Owner (Misc Vessel) Not Listed.,STEVEDORE NOT REQUIRED,430,136.0303,27,27,27,27
PEV-18-001912,5/31/18 10:00,6/1/18 5:30,MONTE ACONCAGUA,20h,CONTAINER SHIP,CONTAINER,Hamburg-Sud,"Florida International Terminal, LLC",69132,892.432,30,30,30,30
PEV-18-001900,5/31/18 12:10,6/1/18 17:10,GARDEN STATE,1d5h,TANKER,PETROLEUM,"Crowley Petroleum Transport, Inc.","Motiva Enterprises, LLC",29923,610.266,9,9,9,9
PEV-18-001919,5/31/18 17:45,6/1/18 1:05,DOLE CALIFORNIA,7h,CONTAINER SHIP,CONTAINER,Dole Fresh Fruit International LTD.,"Sun Terminals, Inc.",16488,586.8069,19,19,19,19
PEV-18-001275,5/31/18 21:50,6/1/18 7:50,JAUME I,10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
