Direction,Date,US Port,HS Code 2 Digit,Ship Line Name,Vessel Name,TEUS
I,6/1/18,PT EVERGLADES,61,CROWLEY LINER SERVICES,PARADERO,4.5
I,6/1/18,PT EVERGLADES,44,GREAT WHITE FLEET LTD,CHIQUITA EXPRESS,10.5
I,6/1/18,PT EVERGLADES,86,SEACOR ISLAND LINES LLC,GRAND EXPRESS,0
I,6/1/18,PT EVERGLADES,44,CROWLEY LINER SERVICES,REGULA,4
I,6/1/18,PT EVERGLADES,86,KING OCEAN SERVICES,CHARLOTTE,0
I,6/1/18,PT EVERGLADES,22,GREAT WHITE FLEET LTD,CHIQUITA EXPRESS,3.5
I,6/1/18,PT EVERGLADES,86,MEDITERRANEAN SHIPPING COMPANY,ALLEGRO,0
I,6/1/18,PT EVERGLADES,52,GREAT WHITE FLEET LTD,CHIQUITA EXPRESS,8.75
I,6/1/18,PT EVERGLADES,86,SEACOR ISLAND LINES LLC,BAHAMAS EXPRESS,5
I,6/1/18,PT EVERGLADES,7,CROWLEY LINER SERVICES,REGULA,9.9
I,6/1/18,PT EVERGLADES,87,KING OCEAN SERVICES,CHARLOTTE,1
I,6/1/18,PT EVERGLADES,62,KING OCEAN SERVICES,CHARLOTTE,20
I,6/1/18,PT EVERGLADES,9,CROWLEY LINER SERVICES,REGULA,0.1
I,6/1/18,PT EVERGLADES,62,CROWLEY LINER SERVICES,PARADERO,8.75
I,6/1/18,PT EVERGLADES,,CROWLEY LINER SERVICES,REGULA,6
I,6/1/18,PT EVERGLADES,,GREAT WHITE FLEET LTD,CHIQUITA EXPRESS,1.1
I,6/1/18,PT EVERGLADES,73,CROWLEY LINER SERVICES,REGULA,14
I,6/1/18,PT EVERGLADES,94,KING OCEAN SERVICES,CHARLOTTE,3
I,6/1/18,PT EVERGLADES,22,KING OCEAN SERVICES,CHARLOTTE,2
I,6/1/18,PT EVERGLADES,86,CROWLEY LINER SERVICES,REGULA,0
I,6/1/18,PT EVERGLADES,86,GREAT WHITE FLEET LTD,CHIQUITA EXPRESS,0
I,6/1/18,PT EVERGLADES,87,CROWLEY LINER SERVICES,REGULA,2
I,6/1/18,PT EVERGLADES,8,CROWLEY LINER SERVICES,REGULA,2
I,6/1/18,PT EVERGLADES,8,GREAT WHITE FLEET LTD,CHIQUITA EXPRESS,302.99
I,6/1/18,PT EVERGLADES,3,CROWLEY LINER SERVICES,REGULA,1
I,6/1/18,PT EVERGLADES,20,GREAT WHITE FLEET LTD,CHIQUITA EXPRESS,2.17
I,6/2/18,PT EVERGLADES,9,KING OCEAN SERVICES,PAVO J,6
I,6/2/18,PT EVERGLADES,48,MAERSK LINE,SEALAND MICHIGAN,0.34
I,6/2/18,PT EVERGLADES,72,CROWLEY LINER SERVICES,TUCANA J,9
I,6/2/18,PT EVERGLADES,87,KING OCEAN SERVICES,TUCANA J,0.5
I,6/2/18,PT EVERGLADES,11,MEDITERRANEAN SHIPPING COMPANY,SEALAND MICHIGAN,1
I,6/2/18,PT EVERGLADES,32,CROWLEY LINER SERVICES,PAVO J,1.07
I,6/2/18,PT EVERGLADES,32,MAERSK LINE,SEALAND MICHIGAN,9
I,6/2/18,PT EVERGLADES,49,MAERSK LINE,SEALAND MICHIGAN,0.11
I,6/2/18,PT EVERGLADES,63,KING OCEAN SERVICES,K BREEZE,3.14
I,6/2/18,PT EVERGLADES,64,MAERSK LINE,SEALAND MICHIGAN,12
I,6/2/18,PT EVERGLADES,82,MAERSK LINE,SEALAND MICHIGAN,0.23
I,6/2/18,PT EVERGLADES,84,KING OCEAN SERVICES,MELBOURNE STRAIT,2
I,6/2/18,PT EVERGLADES,85,MEDITERRANEAN SHIPPING COMPANY,SEALAND MICHIGAN,10.64
I,6/2/18,PT EVERGLADES,8,KING OCEAN SERVICES,TUCANA J,2
I,6/2/18,PT EVERGLADES,24,CROWLEY LINER SERVICES,TUCANA J,2.28
I,6/2/18,PT EVERGLADES,84,KING OCEAN SERVICES,K BREEZE,2
I,6/2/18,PT EVERGLADES,61,KING OCEAN SERVICES,TUCANA J,2.01
I,6/2/18,PT EVERGLADES,9,MAERSK LINE,SEALAND MICHIGAN,1
I,6/2/18,PT EVERGLADES,39,KING OCEAN SERVICES,TUCANA J,4.25
I,6/2/18,PT EVERGLADES,39,KING OCEAN SERVICES,PAVO J,6
I,6/2/18,PT EVERGLADES,44,KING OCEAN SERVICES,TUCANA J,9.5
I,6/2/18,PT EVERGLADES,61,KING OCEAN SERVICES,PAVO J,34.26
I,6/2/18,PT EVERGLADES,81,MEDITERRANEAN SHIPPING COMPANY,SEALAND MICHIGAN,6
I,6/2/18,PT EVERGLADES,83,MAERSK LINE,SEALAND MICHIGAN,8.47
I,6/2/18,PT EVERGLADES,87,MAERSK LINE,SEALAND MICHIGAN,2.4
I,6/2/18,PT EVERGLADES,95,CROWLEY LINER SERVICES,PAVO J,0.28
I,6/2/18,PT EVERGLADES,,MEDITERRANEAN SHIPPING COMPANY,SEALAND MICHIGAN,16.81
I,6/2/18,PT EVERGLADES,38,MAERSK LINE,SEALAND MICHIGAN,0.95
I,6/2/18,PT EVERGLADES,55,MAERSK LINE,SEALAND MICHIGAN,0.29
I,6/2/18,PT EVERGLADES,71,MEDITERRANEAN SHIPPING COMPANY,SEALAND MICHIGAN,1
I,6/2/18,PT EVERGLADES,73,MEDITERRANEAN SHIPPING COMPANY,SEALAND MICHIGAN,9.16
I,6/2/18,PT EVERGLADES,84,MAERSK LINE,SEALAND MICHIGAN,3.12
I,6/2/18,PT EVERGLADES,22,KING OCEAN SERVICES,TUCANA J,4.01
I,6/2/18,PT EVERGLADES,25,MEDITERRANEAN SHIPPING COMPANY,SEALAND MICHIGAN,128.58
I,6/2/18,PT EVERGLADES,72,KING OCEAN SERVICES,K BREEZE,2.25
I,6/2/18,PT EVERGLADES,20,KING OCEAN SERVICES,TUCANA J,2
I,6/2/18,PT EVERGLADES,61,CROWLEY LINER SERVICES,TUCANA J,21.77
I,6/2/18,PT EVERGLADES,62,KING OCEAN SERVICES,K BREEZE,17.72
I,6/2/18,PT EVERGLADES,20,KING OCEAN SERVICES,PAVO J,20.78
I,6/2/18,PT EVERGLADES,42,MEDITERRANEAN SHIPPING COMPANY,SEALAND MICHIGAN,6
I,6/2/18,PT EVERGLADES,61,CROWLEY LINER SERVICES,PAVO J,86.57
I,6/2/18,PT EVERGLADES,63,KING OCEAN SERVICES,TUCANA J,2
I,6/2/18,PT EVERGLADES,69,KING OCEAN SERVICES,K BREEZE,2
I,6/2/18,PT EVERGLADES,86,CROWLEY LINER SERVICES,TUCANA J,6
I,6/2/18,PT EVERGLADES,,CROWLEY LINER SERVICES,PAVO J,43.3
I,6/2/18,PT EVERGLADES,39,CROWLEY LINER SERVICES,PAVO J,0.32
I,6/2/18,PT EVERGLADES,57,SEALAND,SEALAND MICHIGAN,1
I,6/2/18,PT EVERGLADES,76,KING OCEAN SERVICES,PAVO J,2
I,6/2/18,PT EVERGLADES,84,CROWLEY LINER SERVICES,MELBOURNE STRAIT,1
I,6/2/18,PT EVERGLADES,22,MAERSK LINE,SEALAND MICHIGAN,54.33
I,6/2/18,PT EVERGLADES,29,MEDITERRANEAN SHIPPING COMPANY,SEALAND MICHIGAN,2
I,6/2/18,PT EVERGLADES,33,MAERSK LINE,SEALAND MICHIGAN,2
I,6/2/18,PT EVERGLADES,62,CROWLEY LINER SERVICES,MELBOURNE STRAIT,0.41
I,6/2/18,PT EVERGLADES,6,CROWLEY LINER SERVICES,PAVO J,6.13
I,6/2/18,PT EVERGLADES,15,MAERSK LINE,SEALAND MICHIGAN,4
I,6/2/18,PT EVERGLADES,20,MAERSK LINE,SEALAND MICHIGAN,9.05
