Direction,Date,US Port,HS Code 2 Digit,Ship Line Name,Vessel Name,TEUS
I,4/1/18,PT EVERGLADES,42,NYK LINE,ST. LOUIS EXPRESS,0.08
I,4/1/18,PT EVERGLADES,,YANG MING LINE,ST. LOUIS EXPRESS,1
I,4/1/18,PT EVERGLADES,28,NYK LINE,ST. LOUIS EXPRESS,4
I,4/1/18,PT EVERGLADES,83,HAPAG LLOYD,ST. LOUIS EXPRESS,0.13
I,4/1/18,PT EVERGLADES,85,NYK LINE,ST. LOUIS EXPRESS,2.08
I,4/1/18,PT EVERGLADES,87,HAPAG LLOYD,ST. LOUIS EXPRESS,6.53
I,4/1/18,PT EVERGLADES,22,NYK LINE,ST. LOUIS EXPRESS,0.08
I,4/1/18,PT EVERGLADES,7,KING OCEAN SERVICES,GREEN FAST,18.06
I,4/1/18,PT EVERGLADES,34,HAPAG LLOYD,ST. LOUIS EXPRESS,3.2
I,4/1/18,PT EVERGLADES,90,HAPAG LLOYD,ST. LOUIS EXPRESS,4.46
I,4/1/18,PT EVERGLADES,22,HAPAG LLOYD,ST. LOUIS EXPRESS,108.65
I,4/1/18,PT EVERGLADES,32,HAPAG LLOYD,ST. LOUIS EXPRESS,6
I,4/1/18,PT EVERGLADES,40,KING OCEAN SERVICES,GREEN FAST,2
I,4/1/18,PT EVERGLADES,49,HAPAG LLOYD,ST. LOUIS EXPRESS,2.35
I,4/1/18,PT EVERGLADES,64,HAPAG LLOYD,ST. LOUIS EXPRESS,6
I,4/1/18,PT EVERGLADES,76,KING OCEAN SERVICES,GREEN FAST,12
I,4/1/18,PT EVERGLADES,96,HAPAG LLOYD,ST. LOUIS EXPRESS,0.13
I,4/1/18,PT EVERGLADES,70,YANG MING LINE,ST. LOUIS EXPRESS,1.88
I,4/1/18,PT EVERGLADES,8,CROWLEY LINER SERVICES,TUCANA J,104
I,4/1/18,PT EVERGLADES,34,KING OCEAN SERVICES,GREEN FAST,4.35
I,4/1/18,PT EVERGLADES,39,YANG MING LINE,ST. LOUIS EXPRESS,5.75
I,4/1/18,PT EVERGLADES,62,CROWLEY LINER SERVICES,TUCANA J,4
I,4/1/18,PT EVERGLADES,29,HAPAG LLOYD,ST. LOUIS EXPRESS,2
I,4/1/18,PT EVERGLADES,32,NYK LINE,ST. LOUIS EXPRESS,0.16
I,4/1/18,PT EVERGLADES,84,HAPAG LLOYD,ST. LOUIS EXPRESS,10.99
I,4/1/18,PT EVERGLADES,88,HAPAG LLOYD,ST. LOUIS EXPRESS,2
I,4/1/18,PT EVERGLADES,69,NYK LINE,ST. LOUIS EXPRESS,0.08
I,4/1/18,PT EVERGLADES,70,HAPAG LLOYD,ST. LOUIS EXPRESS,1.92
I,4/1/18,PT EVERGLADES,94,NYK LINE,ST. LOUIS EXPRESS,0.08
I,4/1/18,PT EVERGLADES,52,HAPAG LLOYD,ST. LOUIS EXPRESS,0.35
I,4/1/18,PT EVERGLADES,86,HAPAG LLOYD,ST. LOUIS EXPRESS,3
I,4/1/18,PT EVERGLADES,7,HAPAG LLOYD,ST. LOUIS EXPRESS,2.13
I,4/1/18,PT EVERGLADES,39,HAPAG LLOYD,ST. LOUIS EXPRESS,3.76
I,4/1/18,PT EVERGLADES,44,HAPAG LLOYD,ST. LOUIS EXPRESS,3.55
I,4/1/18,PT EVERGLADES,69,KING OCEAN SERVICES,GREEN FAST,16.97
I,4/1/18,PT EVERGLADES,29,YANG MING LINE,ST. LOUIS EXPRESS,2
I,4/1/18,PT EVERGLADES,33,YANG MING LINE,ST. LOUIS EXPRESS,1
I,4/1/18,PT EVERGLADES,89,NYK LINE,ST. LOUIS EXPRESS,2.16
I,4/1/18,PT EVERGLADES,,NYK LINE,ST. LOUIS EXPRESS,0.08
I,4/1/18,PT EVERGLADES,48,HAPAG LLOYD,ST. LOUIS EXPRESS,3.18
I,4/1/18,PT EVERGLADES,39,KING OCEAN SERVICES,GREEN FAST,22.5
I,4/1/18,PT EVERGLADES,61,KING OCEAN SERVICES,GREEN FAST,2
I,4/1/18,PT EVERGLADES,84,YANG MING LINE,ST. LOUIS EXPRESS,4
I,4/1/18,PT EVERGLADES,,KING OCEAN SERVICES,GREEN FAST,12.86
I,4/1/18,PT EVERGLADES,73,KING OCEAN SERVICES,GREEN FAST,0.35
I,4/1/18,PT EVERGLADES,89,HAPAG LLOYD,ST. LOUIS EXPRESS,7.81
I,4/1/18,PT EVERGLADES,25,KING OCEAN SERVICES,GREEN FAST,10
I,4/1/18,PT EVERGLADES,9,NYK LINE,ST. LOUIS EXPRESS,20
I,4/1/18,PT EVERGLADES,19,HAPAG LLOYD,ST. LOUIS EXPRESS,6.22
I,4/1/18,PT EVERGLADES,28,YANG MING LINE,ST. LOUIS EXPRESS,2
I,4/1/18,PT EVERGLADES,44,YANG MING LINE,ST. LOUIS EXPRESS,8.75
I,4/1/18,PT EVERGLADES,84,NYK LINE,ST. LOUIS EXPRESS,0.16
I,4/1/18,PT EVERGLADES,22,YANG MING LINE,ST. LOUIS EXPRESS,16
I,4/1/18,PT EVERGLADES,17,KING OCEAN SERVICES,GREEN FAST,2.62
I,4/1/18,PT EVERGLADES,18,HAPAG LLOYD,ST. LOUIS EXPRESS,12
I,4/1/18,PT EVERGLADES,49,KING OCEAN SERVICES,GREEN FAST,0.29
I,4/1/18,PT EVERGLADES,3,KING OCEAN SERVICES,GREEN FAST,18
I,4/1/18,PT EVERGLADES,42,HAPAG LLOYD,ST. LOUIS EXPRESS,9.05
I,4/1/18,PT EVERGLADES,69,HAPAG LLOYD,ST. LOUIS EXPRESS,2
I,4/1/18,PT EVERGLADES,21,KING OCEAN SERVICES,GREEN FAST,2.17
I,4/1/18,PT EVERGLADES,39,NYK LINE,ST. LOUIS EXPRESS,0.08
