Visit #,Start Time,End Time,Ship,Length Of Stay,Ship Type,Cargo Type Name,Visit Shipping Line Name,Stevedore,GT,LOA,Arrival Berth Name,Arrival Berth Code,Departure Berth Name,Departure Berth Code
PEV-18-002559,8/1/18 12:10,8/2/18 3:15,JPO LIBRA,15h,CONTAINER SHIP,CONTAINER,Hamburg-Sud,"Florida International Terminal, LLC",41359,866.3152,30,30,30,30
PEV-18-002438,8/1/18 12:50,8/2/18 15:10,VANQUISH,1d2h,GENERAL CARGO,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,3871,328.0016,16,16,16,16
PEV-18-002551,8/1/18 13:20,8/1/18 18:05,CAPE MAIL,5h,CONTAINER SHIP,CONTAINER,MAILBOAT COMPANY,Portus-PEV LLC,858,218.0224,18,18,18,18
PEV-18-002561,8/1/18 13:50,8/1/18 22:00,LINDA D,8h,LANDING CRAFT,CONTAINER,Seacor Marine Inc.,H. T. Shipping Inc and Hybur Ltd.,1092,209.3278,17,17,17,17
PEV-18-002420,8/1/18 20:30,8/2/18 1:50,JSP AMIHAN,5h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",9996,456.6168,32,32,32,32
PEV-18-002517,8/1/18 21:25,8/2/18 16:50,VEGA SAGITTARIUS,19h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",9750,456.6168,31,31,31,31
PEV-18-002475,8/1/18 21:40,8/2/18 8:00,JAUME I,10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-002450,8/1/18 22:15,8/3/18 5:45,OHIO,1d8h,TANKER,PETROLEUM,Nordsud Shipping,"Marathon Petroleum Company, LLC",29801,601.4401,7,7,7,7
PEV-18-002547,8/1/18 23:35,8/2/18 11:10,PEGASUS J,12h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8273,458.0276,33A,33A,33A,33A
PEV-18-002532,8/2/18 1:25,8/3/18 15:15,OREGON,1d14h,TANKER,PETROLEUM,"Crowley Petroleum Transport, Inc.",ExxonMobil Oil Corporation,30415,600.423,9,9,9,9
PEV-18-002336,8/2/18 3:00,8/10/18 19:25,LADY DEMET,8d16h,BULK CARRIER,CEMENT,Oldendorff Carriers,Lehigh Cement,19999,586.3147,14,14,14,14
PEV-18-002455,8/2/18 6:40,8/2/18 16:15,CARNIVAL CONQUEST,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,Carnival Corporation,"Florida Stevedoring, Inc.",110239,952.1462,4,4,4,4
PEV-18-002560,8/2/18 7:20,8/3/18 7:20,MONTE ROSA,1d,CONTAINER SHIP,CONTAINER,Hamburg-Sud,"Florida International Terminal, LLC",69132,892.4976,30,30,30,30
PEV-18-002518,8/2/18 7:40,8/4/18 7:10,HOHERIFF,1d23h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",9996,456.3871,17,17,19,19
PEV-18-002550,8/2/18 9:15,8/3/18 17:55,GRAND EXPRESS,1d9h,LANDING CRAFT,CONTAINER,Seacor Marine Inc.,SEACOR Island Lines LLC,1671,256.2461,27,27,16,16
PEV-18-002437,8/2/18 10:25,8/2/18 22:35,CARIBE NAVIGATOR,12h,GENERAL CARGO,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,2996,327.9359,6,6,16,16
PEV-18-002568,8/2/18 17:50,8/4/18 0:30,NIKKEI DRAGON,1d7h,BULK CARRIER,SLAG,Tamai Steamship Co. Ltd.,"Host Terminals, LLC",29439,618.4685,5,5,5,5
PEV-18-002539,8/2/18 19:00,8/4/18 6:45,TUG LEIGH ANN MORAN,1d12h,TUG,GASOLINE,Chevron USA,Chevron USA,708,121.0033,13,13,13,13
PEV-18-002540,8/2/18 19:00,8/4/18 6:45,BARGE MISSISSIPPI,1d12h,BARGE CARRIER,GASOLINE,Chevron USA,Chevron USA,11507,494.7,13,13,13,13
PEV-18-002562,8/2/18 19:05,8/3/18 0:40,DOLE ECUADOR,6h,CONTAINER SHIP,CONTAINER,Dole Fresh Fruit International LTD.,"Sun Terminals, Inc.",16488,586.8069,31,31,31,31
PEV-18-002476,8/2/18 22:10,8/3/18 8:00,JAUME I,10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-002553,8/3/18 6:45,8/3/18 13:10,OHIO,6h,TANKER,LAY-IN,Nordsud Shipping,STEVEDORE NOT REQUIRED,29801,601.4401,19,19,19,19
PEV-18-002519,8/3/18 7:10,8/5/18 4:35,FS IPANEMA,1d21h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",21018,589.5629,33A,33A,30,30
PEV-18-002546,8/3/18 9:50,8/3/18 21:25,CHIQUITA TRADER,12h,CONTAINER SHIP,CONTAINER,"Chiquita Fresh North America, LLC","Florida International Terminal, LLC",27059,695.0798,30,30,30,30
PEV-18-002548,8/3/18 10:05,8/4/18 0:50,REGULA,15h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",7219,435.3887,32,32,32,32
PEV-18-002549,8/3/18 10:45,8/4/18 1:10,WEISSHORN,14h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",12029,515.5435,33C,33C,33A,33A
PEV-18-002574,8/3/18 11:10,8/3/18 17:00,ALLEGRO,6h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",2984,323.7691,31,31,31,31
PEV-18-002454,8/3/18 17:40,8/4/18 22:25,SEABULK ARCTIC,1d5h,TANKER,PETROLEUM,Seabulk Tanker Co.,Citgo Petroleum Corporation,30415,600.423,9,9,9,9
PEV-18-002421,8/3/18 18:40,8/4/18 18:00,SEALAND NEW YORK,23h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida Stevedoring, Inc.",74661,997.949,31,31,31,31
PEV-18-002477,8/3/18 22:20,8/4/18 8:00,JAUME I,10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-002593,8/4/18 3:30,8/4/18 13:10,K-BREEZE,10h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33A,33A,33A,33A
PEV-18-002466,8/4/18 6:10,8/4/18 16:45,HARMONY OF THE SEAS,11h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,226963,1188.1157,18,18,18,18
PEV-18-002462,8/4/18 6:35,8/4/18 16:15,CARIBBEAN PRINCESS,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Princess Cruises, Inc.","Florida Stevedoring, Inc.",112894,950.0464,2,2,2,2
PEV-18-002555,8/4/18 10:10,8/4/18 20:35,YORKTOWN EXPRESS,10h,CONTAINER SHIP,CONTAINER,Hapag Lloyd,"Florida International Terminal, LLC",40146,797.283,30,30,30,30
PEV-18-002552,8/4/18 11:35,8/5/18 17:05,TURQUOISE,1d6h,TANKER,JET FUEL,Thome Ship Management,Valero Marketing & Supply Co.,29767,600.423,13,13,13,13
PEV-18-002590,8/4/18 11:40,8/7/18 1:30,JAN CARIBE,2d14h,GENERAL CARGO,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",2770,310.0545,6,6,32,32
PEV-18-002592,8/4/18 14:30,8/4/18 21:30,TUCANA J,7h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33A,33A,33A,33A
PEV-18-002573,8/4/18 20:00,8/5/18 8:20,AS CLEOPATRA,12h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",28372,727.3649,32,32,32,32
PEV-18-002520,8/4/18 20:00,8/5/18 5:25,DELPHINUS,9h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",5730,400.0523,31,31,31,31
PEV-18-002478,8/4/18 22:00,8/5/18 8:00,JAUME I,10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-002567,8/5/18 0:05,8/6/18 18:10,GARDEN STATE,1d18h,TANKER,PETROLEUM,"Crowley Petroleum Transport, Inc.","Motiva Enterprises, LLC",29923,610.266,9,9,9,9
PEV-18-002541,8/5/18 1:00,8/6/18 21:00,TEXAS VOYAGER,1d20h,TANKER,GASOLINE,Chevron USA,Chevron USA,29923,610.266,7,7,7,7
PEV-18-002470,8/5/18 5:35,8/5/18 16:35,ALLURE OF THE SEAS,11h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,225282,1181.16,18,18,18,18
PEV-18-002554,8/5/18 6:05,8/5/18 15:35,FANFARE,10h,GENERAL CARGO,GENERAL CARGO,BBC Chartering,"Host Terminals, LLC",9611,453.0077,19,19,19,19
PEV-18-002556,8/5/18 8:05,8/5/18 16:00,SAN ANTONIO,8h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida International Terminal, LLC",22914,611.3487,30,30,30,30
PEV-18-002571,8/5/18 15:10,8/6/18 12:10,MSC MARTA,21h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",65483,901.1923,32,32,32,32
PEV-18-002529,8/5/18 19:20,8/7/18 13:40,LIA,1d18h,TANKER,JET FUEL,NAVIG8 CHEMICALS,Valero Marketing & Supply Co.,42010,750.0366,13,13,13,13
PEV-18-002479,8/5/18 22:20,8/6/18 7:45,JAUME I,9h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-002594,8/5/18 23:05,8/6/18 11:55,PARADERO,13h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33A,33A,33A,33A
PEV-18-002589,8/6/18 0:35,8/6/18 10:25,PLANET V,10h,GENERAL CARGO,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",4984,381.9084,31,31,31,31
PEV-18-002591,8/6/18 1:00,8/7/18 3:45,PAVO J,1d3h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33B,33B,33A,33A
PEV-18-002603,8/6/18 4:55,8/7/18 20:00,FIESTA MAIL,1d15h,CONTAINER SHIP,CONTAINER,MAILBOAT COMPANY,Portus-PEV LLC,2485,225.175,33C,33C,33C,33C
PEV-18-002456,8/6/18 6:35,8/6/18 15:55,CARNIVAL CONQUEST,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,Carnival Corporation,"Florida Stevedoring, Inc.",110239,952.1462,4,4,4,4
PEV-18-002582,8/6/18 6:40,8/6/18 18:30,VANTAGE,12h,GENERAL CARGO,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,3871,328.0016,16,16,16,16
PEV-18-002587,8/6/18 10:25,8/7/18 0:01,SPIRIT OF LISBON,14h,CONTAINER SHIP,CONTAINER,Hamburg-Sud,"Florida International Terminal, LLC",40541,856.4722,30,30,30,30
PEV-18-002570,8/6/18 13:50,8/6/18 18:55,ALLEGRO,5h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",2984,323.7691,32,32,32,32
PEV-18-002616,8/6/18 14:45,8/7/18 1:00,MELBOURNE STRAIT,10h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",21018,589.4316,31,31,31,31
PEV-18-002402,8/6/18 17:30,8/11/18 0:35,TAI STAR,4d7h,BULK CARRIER,ASH,Pacific Basin Shipping LTD.,"Host Terminals, LLC",35318,656.1344,5,5,5,5
PEV-18-002564,8/6/18 20:10,8/7/18 20:40,BARGE 650-9,1d,TANK BARGE,PETROLEUM,"Crowley Petroleum Transport, Inc.","Motiva Enterprises, LLC",13500,587.0037,9,9,9,9
PEV-18-002565,8/6/18 20:10,8/7/18 20:40,TUG INNOVATION,1d,TUG,PETROLEUM,"Crowley Petroleum Transport, Inc.","Motiva Enterprises, LLC",1052,135.0131,9,9,9,9
PEV-18-002619,8/6/18 20:30,8/7/18 14:50,TUG DADE,18h,TUG,DIESEL,"Kirby Inland Marine, LP","TransMontaigne Product Services, Inc.",278,99.9721,3,3,3,3
PEV-18-002620,8/6/18 20:30,8/7/18 14:50,BARGE #405,18h,TANK BARGE,DIESEL,"Kirby Inland Marine, LP","TransMontaigne Product Services, Inc.",2113,263.3,3,3,3,3
PEV-18-002480,8/6/18 21:50,8/7/18 8:00,JAUME I,10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-002569,8/7/18 0:55,8/8/18 14:05,TEXAS,1d13h,TANKER,PETROLEUM,Exxon,ExxonMobil Oil Corporation,29801,601.4401,7,7,7,7
PEV-18-002557,8/7/18 6:30,8/7/18 17:05,CAP REINGA,11h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida International Terminal, LLC",32984,738.3562,30,30,30,30
PEV-18-002630,8/7/18 8:40,8/8/18 7:30,VANQUISH,23h,GENERAL CARGO,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,3871,328.0016,16,16,16,16
PEV-18-002391,8/7/18 10:20,8/21/18 10:00,STATES TIDE,13d24h,SUPPLY SHIP,LAY-IN,FUGRO CHANCE,"Coleary Transport Co.,Inc",4379,309.9889,28F,28F,28F,28F
PEV-18-002528,8/7/18 15:10,8/8/18 17:55,CHALLENGE POINT,1d3h,TANKER,GASOLINE,BP Shipping (British Petroleum),"Motiva Enterprises, LLC",28049,590.1863,13,13,13,13
PEV-18-002558,8/7/18 18:45,8/7/18 23:05,WINNER,4h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida International Terminal, LLC",22914,611.4144,30,30,30,30
PEV-18-002613,8/7/18 20:25,8/9/18 20:30,OSLO FJORD 1,2d,GENERAL CARGO,YACHTS LOAD ON-OFF,OSLO BULK HOLDING CO. LTD,"Host Terminals, LLC",9611,455.8949,19,19,19,19
PEV-18-002481,8/7/18 22:25,8/9/18 8:05,JAUME I,1d10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-002595,8/8/18 1:25,8/8/18 22:20,DENEB J,21h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8280,458.0276,32,32,32,32
PEV-18-002602,8/8/18 2:45,8/8/18 16:10,PLANET V,13h,GENERAL CARGO,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",4984,381.9084,31,31,31,31
PEV-18-002601,8/8/18 3:00,8/8/18 9:45,ROTHORN,7h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Crowley Liner Services, Inc.",12029,515.5107,33A,33A,33A,33A
PEV-18-002629,8/8/18 8:05,8/13/18 10:10,BARGE U-1402,5d2h,BARGE CARRIER,LAY-IN,"Stevens Towing Co., Inc.",F P L,356,140,18,18,18,18
PEV-18-002628,8/8/18 8:05,8/13/18 10:10,TUG ISLAND MERCHANT,5d2h,TUG,LAY-IN,"Stevens Towing Co., Inc.",F P L,125,0,18,18,18,18
PEV-18-002632,8/8/18 11:05,8/10/18 3:10,WARNOW WHALE,1d16h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",15375,545.1381,33A,33A,32,32
PEV-18-002623,8/8/18 12:10,8/9/18 0:25,JPO CAPRICORNUS,12h,CONTAINER SHIP,CONTAINER,Hamburg-Sud,"Florida International Terminal, LLC",41359,866.184,30,30,30,30
PEV-18-002598,8/8/18 12:30,8/9/18 17:05,VEGA LUNA,1d5h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",9940,485.1615,17,17,31,31
PEV-18-002525,8/8/18 13:00,8/16/18 15:40,CORONA,8d3h,BULK CARRIER,STEEL,Martrade Shipping,Portus-PEV LLC,26862,614.5313,29,29,29,29
PEV-18-002605,8/8/18 13:20,8/8/18 17:55,CAPE MAIL,5h,CONTAINER SHIP,CONTAINER,MAILBOAT COMPANY,Portus-PEV LLC,858,218.0224,21,21,21,21
PEV-18-002577,8/8/18 13:40,8/8/18 20:15,JSP AMIHAN,7h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",9996,456.6168,32,32,32,32
PEV-18-002563,8/8/18 15:30,8/9/18 9:25,INDEPENDENCE,18h,TANKER,PETROLEUM,Seabulk Tankers LTD.,"TransMontaigne Product Services, Inc.",29923,610.266,9,9,9,9
PEV-18-002583,8/8/18 19:15,8/9/18 14:45,CARIBE NAVIGATOR,20h,GENERAL CARGO,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,2996,327.9359,16,16,16,16
PEV-18-002596,8/8/18 23:50,8/9/18 15:05,K-STORM,15h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33A,33A,33A,33A
PEV-18-002604,8/9/18 6:30,8/11/18 2:20,HOHEBANK,1d20h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",9996,456.3871,17,17,17,17
PEV-18-002544,8/9/18 7:50,8/9/18 14:20,USCGC MOHAWK WMEC 913,7h,USCG,U.S. COAST GUARD,U S Coast Guard,STEVEDORE NOT REQUIRED,1820,270,2,2,2,2
PEV-18-002622,8/9/18 8:40,8/10/18 1:25,MONTE TAMARO,17h,CONTAINER SHIP,CONTAINER,Hamburg-Sud,"Florida International Terminal, LLC",69132,892.6945,30,30,30,30
PEV-18-002637,8/9/18 9:00,8/10/18 18:35,GRAND EXPRESS,1d10h,LANDING CRAFT,CONTAINER,Seacor Marine Inc.,SEACOR Island Lines LLC,1671,256.2461,15,15,15,15
PEV-18-002597,8/9/18 9:00,8/9/18 20:00,VI-NAIS,11h,GENERAL CARGO,GENERAL CARGO,COASTLINE SHIPLINE LIMITED,"Host Terminals, LLC",487,190.0355,21,21,21,21
PEV-18-002531,8/9/18 10:50,8/10/18 17:15,LOUISIANA,1d6h,TANKER,PETROLEUM,Nordsud Shipping,Marathon Petroleum Company LP,29801,601.4401,7,7,7,7
PEV-18-002584,8/9/18 15:15,8/9/18 22:15,CARIBE MARINER,7h,CONTAINER SHIP,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,2899,325.7049,16,16,16,16
PEV-18-002621,8/9/18 18:25,8/9/18 23:15,DOLE CALIFORNIA,5h,CONTAINER SHIP,CONTAINER,Dole Fresh Fruit International LTD.,"Sun Terminals, Inc.",16488,586.8069,31,31,31,31
PEV-18-002482,8/9/18 22:00,8/10/18 8:05,JAUME I,10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-002586,8/10/18 5:25,8/10/18 16:35,HOEGH SYDNEY,11h,VEHICLES CARRIER,AUTOMOBILES,Hoegh Autoliners,Logistec Stevedoring Inc.,51731,590.2519,19,19,19,19
PEV-18-002572,8/10/18 5:25,8/10/18 11:45,MAERSK IOWA,6h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida Stevedoring, Inc.",50686,958.3145,31,31,31,31
PEV-18-002633,8/10/18 6:25,8/10/18 22:35,REGULA,16h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",7219,435.3887,33A,33A,33A,33A
PEV-18-002631,8/10/18 8:05,8/11/18 0:45,CHIQUITA EXPRESS,17h,CONTAINER SHIP,CONTAINER,"Chiquita Fresh North America, LLC","Florida International Terminal, LLC",27059,695.0798,30,30,30,30
PEV-18-002578,8/10/18 13:10,8/10/18 19:00,ALLEGRO,6h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",2984,323.7691,32,32,32,32
PEV-18-002617,8/10/18 13:40,8/11/18 15:20,MELBOURNE STRAIT,1d2h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",21018,589.4316,31,31,31,31
PEV-18-002545,8/10/18 14:25,8/13/18 0:20,STAR LYGRA,2d10h,GENERAL CARGO,YACHTS LOAD ON-OFF,Grieg Shipping II AS,"Host Terminals, LLC",37447,670.5183,26,26,26,26
PEV-18-002575,8/10/18 20:40,8/12/18 0:30,BARGE EMI 1151,1d4h,CEMENT CARRIER,SLAG,LEHIGH CEMENT COMPANY,Lehigh Cement,3631,360,14,14,14,14
PEV-18-002576,8/10/18 20:40,8/12/18 0:30,TUG DUTY,1d4h,TUG,SLAG,LEHIGH CEMENT COMPANY,Lehigh Cement,332,102.0391,14,14,14,14
PEV-18-002483,8/10/18 22:00,8/11/18 8:10,JAUME I,10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-002585,8/11/18 3:00,8/12/18 18:55,GOLDEN STATE,1d16h,TANKER,PETROLEUM,"Crowley Petroleum Transport, Inc.",Valero Marketing & Supply Co.,29527,600.423,13,13,13,13
PEV-18-002643,8/11/18 4:50,8/11/18 18:15,PHILADELPHIA EXPRESS,13h,CONTAINER SHIP,CONTAINER,Hapag Lloyd,"Florida International Terminal, LLC",40146,798.4313,30,30,30,30
PEV-18-002580,8/11/18 5:35,8/11/18 17:10,MSC NADRIELY,12h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",25608,682.8417,32,32,32,32
PEV-18-002467,8/11/18 6:05,8/11/18 16:35,HARMONY OF THE SEAS,11h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,226963,1188.1157,18,18,18,18
PEV-18-002463,8/11/18 6:35,8/11/18 17:05,CARIBBEAN PRINCESS,11h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Princess Cruises, Inc.","Florida Stevedoring, Inc.",112894,950.0464,2,2,2,2
PEV-18-002457,8/11/18 7:00,8/11/18 16:05,CARNIVAL CONQUEST,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,Carnival Corporation,"Florida Stevedoring, Inc.",110239,952.1462,4,4,4,4
PEV-18-002634,8/11/18 7:50,8/11/18 14:30,TUCANA J,7h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33A,33A,33A,33A
PEV-18-002618,8/11/18 16:20,8/12/18 2:00,DELPHINUS,10h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",5730,400.0523,31,31,31,31
PEV-18-002655,8/11/18 19:15,8/13/18 8:15,TAI STAR,1d13h,BULK CARRIER,ASH,Pacific Basin Shipping LTD.,"Host Terminals, LLC",35318,656.1344,5,5,5,5
PEV-18-002654,8/11/18 19:50,8/12/18 5:35,LENA,10h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",9981,456.3871,33A,33A,33A,33A
PEV-18-002484,8/11/18 22:15,8/12/18 8:00,JAUME I,10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-002675,8/12/18 0:45,8/12/18 17:30,BARGE RTC 104,17h,TANK BARGE,LAY-IN,Reinauer Transportation,STEVEDORE NOT REQUIRED,6116,413,4,4,4,4
PEV-18-002674,8/12/18 0:45,8/12/18 17:30,TUG REINAUER TWINS,17h,TUG,LAY-IN,Reinauer Transportation,STEVEDORE NOT REQUIRED,659,116.9217,4,4,4,4
PEV-18-002650,8/12/18 3:45,8/12/18 15:00,MAERSK WINNIPEG,11h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida International Terminal, LLC",18123,574.5031,31,31,31,31
PEV-18-002471,8/12/18 7:00,8/12/18 17:50,ALLURE OF THE SEAS,11h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,225282,1181.16,18,18,18,18
