Visit #,Start Time,End Time,Ship,Length Of Stay,Ship Type,Cargo Type Name,Visit Shipping Line Name,Stevedore,GT,LOA,Arrival Berth Name,Arrival Berth Code,Departure Berth Name,Departure Berth Code
PEV-18-002436,7/30/18 0:50,8/7/18 11:50,CHANG SHAN HAI,8d11h,BULK CARRIER,CEMENT,Cemex Construction Materials Florida LLC,Cemex Construction Materials Florida LLC,33044,623.3572,15,15,15,15
PEV-18-002378,7/30/18 9:50,8/2/18 4:00,NIKKEI DRAGON,2d18h,BULK CARRIER,SLAG,Tamai Steamship Co. Ltd.,"Host Terminals, LLC",29439,618.4685,5,5,5,5
PEV-18-002526,7/31/18 11:20,8/1/18 2:05,MSC PAOLA,15h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",37579,796.7252,32,32,32,32
PEV-18-002542,7/31/18 12:25,8/1/18 10:40,USCGC HAMILTON WMSL-753,22h,USCG,U.S. COAST GUARD,U S Coast Guard,STEVEDORE NOT REQUIRED,3717.5,418,2,2,2,2
PEV-18-002516,7/31/18 22:05,8/1/18 8:35,CHARLOTTE,11h,GENERAL CARGO,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",2035,297.2586,31,31,30,30
PEV-18-001991,7/31/18 22:10,8/1/18 7:50,JAUME I,10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-002535,8/1/18 1:00,8/1/18 22:00,DENEB J,21h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8280,458.0276,33A,33A,31,31
PEV-18-002419,8/1/18 8:30,8/1/18 18:55,MAERSK MONTANA,10h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida Stevedoring, Inc.",50686,958.3145,32,32,32,32
PEV-18-002534,8/1/18 10:15,8/3/18 0:45,AS FABRIZIA,1d14h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",15375,545.1381,33A,33A,33A,33A
PEV-18-002510,8/1/18 11:35,8/2/18 17:20,GOLDEN STATE,1d6h,TANKER,PETROLEUM,"Crowley Petroleum Transport, Inc.",Valero Marketing & Supply Co.,29527,600.423,13,13,13,13
