Direction,Date,US Port,HS Code 2 Digit,Ship Line Name,Vessel Name,TEUS
I,10/1/17,PT EVERGLADES,27,SEALAND,SPIRIT OF TOKYO,10
I,10/1/17,PT EVERGLADES,95,SEACOR ISLAND LINES LLC,EMERALD EXPRESS,1
I,10/1/17,PT EVERGLADES,,SEALAND,SPIRIT OF TOKYO,2
I,10/1/17,PT EVERGLADES,61,CROWLEY LINER SERVICES,DENEB J,0.05
I,10/1/17,PT EVERGLADES,3,SEALAND,SPIRIT OF TOKYO,4
I,10/1/17,PT EVERGLADES,87,SEALAND,SPIRIT OF TOKYO,2
I,10/1/17,PT EVERGLADES,8,SEALAND,SPIRIT OF TOKYO,2
I,10/1/17,PT EVERGLADES,39,SEALAND,SPIRIT OF TOKYO,2
I,10/1/17,PT EVERGLADES,44,SEALAND,SPIRIT OF TOKYO,2
I,10/1/17,PT EVERGLADES,62,CROWLEY LINER SERVICES,DENEB J,10.45
I,10/1/17,PT EVERGLADES,86,SEACOR ISLAND LINES LLC,EMERALD EXPRESS,0
I,10/1/17,PT EVERGLADES,86,MBC LINE (MARINE BULK CARRIERS),CAPE MAIL,0
I,10/2/17,PT EVERGLADES,19,CROWLEY LINER SERVICES,TUCANA J,4
I,10/2/17,PT EVERGLADES,63,HAMBURG SUD,JPO LIBRA,2
I,10/2/17,PT EVERGLADES,90,CROWLEY LINER SERVICES,PAVO J,43.96
I,10/2/17,PT EVERGLADES,17,HAMBURG SUD,JPO LIBRA,3
I,10/2/17,PT EVERGLADES,18,HAPAG LLOYD,JPO LIBRA,2
I,10/2/17,PT EVERGLADES,20,CMA-CGM,JPO LIBRA,4
I,10/2/17,PT EVERGLADES,64,CROWLEY LINER SERVICES,TUCANA J,0.13
I,10/2/17,PT EVERGLADES,67,CROWLEY LINER SERVICES,PAVO J,2
I,10/2/17,PT EVERGLADES,,KING OCEAN SERVICES,PLANET V,8.61
I,10/2/17,PT EVERGLADES,24,CROWLEY LINER SERVICES,TUCANA J,7
I,10/2/17,PT EVERGLADES,69,HAPAG LLOYD,JPO LIBRA,5
I,10/2/17,PT EVERGLADES,24,CROWLEY LINER SERVICES,PAVO J,8.25
I,10/2/17,PT EVERGLADES,84,CMA-CGM,JPO LIBRA,2
I,10/2/17,PT EVERGLADES,9,CROWLEY LINER SERVICES,TUCANA J,0.44
I,10/2/17,PT EVERGLADES,21,CROWLEY LINER SERVICES,PAVO J,0.08
I,10/2/17,PT EVERGLADES,83,CROWLEY LINER SERVICES,TUCANA J,0.44
I,10/2/17,PT EVERGLADES,83,HAMBURG SUD,JPO LIBRA,0.15
I,10/2/17,PT EVERGLADES,87,CROWLEY LINER SERVICES,TUCANA J,4.24
I,10/2/17,PT EVERGLADES,87,HAMBURG SUD,JPO LIBRA,3.49
I,10/2/17,PT EVERGLADES,87,CROWLEY LINER SERVICES,PAVO J,5.41
