nodeID nodeLabel nodeLat nodeLong
0 switch-admin 26.066661 -80.117486
1 switch-gate 26.069066 -80.12174
2 GOS 26.065472 -80.117608
3 kiosk1 26.069843 -80.121644
4 kiosk2 26.069759 -80.122178
5 TOS 26.065503 -80.118419
6 router-crowley 26.067601 -80.120309
7 Berth_30 26.072994 -80.117034
8 Berth_31 26.071422 -80.115243
9 Berth_32 26.068678 -80.115335
10 Berth_33 26.066483 -80.115846
11 Crowley 26.065677 -80.119918
12 MSC 26.068313 -80.118437
13 FIT 26.071382 -80.119384
14 King_Ocean 26.073795 -80.121913
15 McIntosh_Gate 26.076866 -80.124083
16 McIntosh_Intersection 26.082274 -80.124327
17 McIntosh_N_1 26.069947 -80.123875
18 McIntosh_N_2 26.070352 -80.123896
19 McIntosh_N_3 26.074915 -80.124075
20 S_FL_Retail 25.767792 -80.199407
21 S_FL_Groceries 26.218236 -81.775823
22 PEV 26.093819 -80.094836
23 Loading_Dock_1 26.072617 -80.117034
24 Loading_Dock_2 26.071388 -80.115684
25 Loading_Dock_3 26.068678 -80.115736
26 Loading_Dock_4 26.066563 -80.116203
27 Seaway_Node_1 26.07416 -80.114566
28 X_Ray 26.072524 -80.121782
29 McIntosh_N_2A 26.072577 -80.123928
30 McIntosh_N_2B 26.072577 -80.123934
31 ALGERIA 28.0000272 2.9999825
32 ARGENTINA -34.9964963 -64.9672817
33 AUSTRALIA -24.7761086 134.755
34 BAHAMAS 24.7736546 -78.0000547
35 BARBADOS 13.1500331 -59.5250305
36 BELGIUM 50.6402809 4.6667145
37 BELIZE 16.8259793 -88.7600927
38 BRAZIL -10.3333333 -53.2
39 CAYMAN_ISLANDS 19.5417212 -80.5667132
40 CHILE -31.7613365 -71.3187697
41 COLOMBIA 2.8894434 -73.783892
42 COSTA_RICA 10.2735633 -84.0739102
43 DOMINICAN_REPUBLIC 19.0974031 -70.3028026
44 ECUADOR -1.3397668 -79.3666965
45 FRANCE-N 41.6497623 -7.4707404
46 FRANCE-S 49.2702199 -0.8585641
47 GERMANY 51.0834196 10.4234469
48 GREECE 38.9953683 21.9877132
49 GUATEMALA 15.6356088 -89.8988087
50 GUYANA 4.8417097 -58.6416891
51 HAITI 19.1399952 -72.3570972
52 HONDURAS 15.2572432 -86.0755145
53 INDIA 22.3511148 78.6677428
54 INDONESIA -2.49579265 120.200071716612
55 IRELAND 52.865196 -7.9794599
56 ISRAEL 30.8760272 35.0015196
57 ITALY 42.6384261 12.674297
58 JAMAICA 18.1850507 -77.3947693
59 KUWAIT 29.2733964 47.4979476
60 LEEWARD_AND_WINDWARD 30.31833 -81.412722
61 LITHUANIA 55.3500003 23.7499997
62 MALAYSIA 2.3923759 112.8471939
63 MALTA_AND_GOZO 36.0467778 14.2582564912365
64 MEXICO 19.4326009 -99.1333416
65 MOROCCO 31.1728205 -7.3362482
66 NETHERLANDS 52.2379891 5.53460738161551
67 NETHERLANDS_ANTILLES 12.1546009 -68.9404723492907
68 NICARAGUA 12.3724928 -84.8700308
69 PAKISTAN 30.3308401 71.247499
70 PANAMA 8.3096067 -81.3066246
71 PARAGUAY -23.3165935 -58.1693445
72 PEOPLES_REP_OF_CHINA 56.9695908 24.106994
73 PERU -6.8699697 -75.0458515
74 POLAND 52.0977181 19.0258159
75 PORTUGAL 40.033265 -7.8896263
76 Republic_of_South_Africa -28.8166236 24.991639
77 SPAIN-S 43.4971343 -7.1136048
78 SRI_LANKA_(CEYLON) 7.87771365 80.6624892290889
79 SURINAM 4.1413025 -56.0771187
80 SYRIA 34.6401861 39.0494106
81 TRINIDAD_AND_TOBAGO 10.8677845 -60.9821067
82 TURKEY 38.9597594 34.9249653
83 TURKS_AND_CAICOS_IS 21.7214683 -71.6201783
84 UNITED_KINGDOM 54.7023545 -3.2765753
85 URUGUAY -32.8755548 -56.0201525
86 VENEZUELA 8.0018709 -66.1109318
