Visit #,Start Time,End Time,Ship,Length Of Stay,Ship Type,Cargo Type Name,Visit Shipping Line Name,Stevedore,GT,LOA,Arrival Berth Name,Arrival Berth Code,Departure Berth Name,Departure Berth Code
PEV-17-004035,1/7/18 7:10,1/7/18 16:20,CROWN PRINCESS,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Princess Cruises, Inc.","Florida Stevedoring, Inc.",113561,946.995,4,4,4,4
PEV-18-000136,1/7/18 8:00,1/10/18 15:50,ARESSA,3d8h,GENERAL CARGO,LUMBER,Openbridge Shipping LLC,"Host Terminals, LLC",1926,311.695,19,19,20,20
PEV-17-004420,1/7/18 13:10,1/8/18 1:35,JACOB,12h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",21971,645.7992,32,32,32,32
PEV-18-000106,1/7/18 15:10,1/7/18 21:45,PAVO J,7h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33A,33A,33A,33A
PEV-18-000138,1/7/18 18:40,1/9/18 8:50,GLAFKOS,1d14h,TANKER,GASOLINE,BP Amoco,BP Products North America Inc.,29940,600.423,9,9,9,9
PEV-17-004400,1/7/18 19:50,1/9/18 8:00,JAUME I,1d12h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-000129,1/7/18 21:15,1/8/18 19:00,TUG MAKO,22h,TUG,ASPHALT,Kirby Offshore Marine,"Transmontaigne Product Services, Inc.",499,116.049,5,5,2,2
PEV-18-000130,1/7/18 21:15,1/8/18 19:00,BARGE PENN 81,22h,"TANK BARGE, PUSHED",ASPHALT,Kirby Offshore Marine,"Transmontaigne Product Services, Inc.",6373,378,5,5,2,2
PEV-18-000121,1/7/18 21:30,1/8/18 13:55,CHIQUITA TRADER,16h,CONTAINER SHIP,CONTAINER,"Chiquita Fresh North America, LLC","Florida International Terminal, LLC",27059,695.0798,30,30,30,30
PEV-17-004547,1/7/18 23:45,1/9/18 6:25,WEST VIRGINIA,1d7h,TANKER,PETROLEUM,Nordsud Shipping,Marathon Petroleum Company LP,29801,601.4401,7,7,7,7
PEV-17-004490,1/8/18 3:40,1/8/18 12:45,TRANS LEADER,9h,VEHICLES CARRIER,AUTOMOBILES,NYK Line North America Inc.,"Coleary Transport Company, Inc.",43810,590.58,31,31,31,31
PEV-18-000105,1/8/18 3:50,1/8/18 21:30,DENEB J,18h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8280,458.0276,33A,33A,33A,33A
PEV-17-004241,1/8/18 5:55,1/8/18 20:30,MAERSK IDAHO,15h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida Stevedoring, Inc.",50698,958.2817,32,32,32,32
PEV-17-004070,1/8/18 6:05,1/8/18 13:20,CELEBRITY REFLECTION,7h,PASSENGER SHIP,CRUISE - MULTI-DAY,Celebrity Cruises,Eller-I.T.O. Stevedoring Company L.L.C.,125366,1046.639,18,18,18,18
PEV-18-000115,1/8/18 7:00,1/8/18 16:00,VANQUISH,9h,GENERAL CARGO,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,3871,328.0016,16,16,16,16
PEV-17-004102,1/8/18 7:05,1/8/18 16:25,INDEPENDENCE OF THE SEAS,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,154407,1111.9965,29,29,29,29
PEV-17-004566,1/8/18 8:00,1/8/18 15:20,FIESTA MAIL,7h,CONTAINER SHIP,CONTAINER,MAILBOAT COMPANY,Portus-PEV LLC,2485,225.175,21,21,21,21
PEV-18-000125,1/8/18 13:05,1/9/18 17:05,BARGE GM 13502,1d4h,,FUEL OIL,Genesis Marine,"TransMontaigne Product Services, Inc.",9787,445.002,5,5,5,5
PEV-18-000126,1/8/18 13:05,1/9/18 17:05,TUG GENESIS FREEDOM,1d4h,TUG,FUEL OIL,Genesis Marine,"TransMontaigne Product Services, Inc.",580,0,5,5,5,5
PEV-17-004331,1/8/18 14:00,1/8/18 18:40,ALLEGRO,5h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",2984,323.7691,31,31,31,31
PEV-18-000016,1/8/18 16:30,1/9/18 19:10,SPIRIT OF LISBON,1d3h,CONTAINER SHIP,CONTAINER,Hamburg-Sud,"Florida International Terminal, LLC",40541,856.4722,30,30,30,30
PEV-17-004514,1/8/18 20:05,1/10/18 15:25,GREEN FAST,1d19h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",5522,386.8627,31,31,31,31
PEV-17-004564,1/8/18 23:35,1/10/18 7:45,GOLDEN STATE,1d8h,TANKER,PETROLEUM,"Crowley Petroleum Transport, Inc.",Valero Marketing & Supply Co.,29527,600.423,13,13,13,13
PEV-17-004556,1/9/18 4:55,1/10/18 3:10,HOEGH MASAN,22h,VEHICLES CARRIER,AUTOMOBILES,Hoegh Autoliners,Logistec Stevedoring Inc.,44219,588.8575,32,32,32,32
PEV-17-004094,1/9/18 5:55,1/9/18 16:05,ROYAL PRINCESS,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Princess Cruises, Inc.","Florida Stevedoring, Inc.",142714,1082.73,2,2,2,2
PEV-18-000147,1/9/18 10:35,1/9/18 23:05,VEGA SACHSEN,13h,GENERAL CARGO,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",9957,484.9646,33A,33A,33A,33A
PEV-18-000135,1/9/18 11:00,1/10/18 18:15,BARGE PETROCHEM SUPPLIER,1d7h,TANK BARGE,ETHANOL,"US Shipping Vessel Management, Inc","Motiva Enterprises, LLC",10884,521.7446,9,9,9,9
PEV-18-000134,1/9/18 11:00,1/10/18 18:15,TUG CORPUS CHRISTI,1d7h,TUG,ETHANOL,BP Shipping (British Petroleum),"Motiva Enterprises, LLC",1348,150.0467,9,9,9,9
PEV-18-000148,1/9/18 12:15,1/9/18 17:30,MAERSK WEYMOUTH,5h,CONTAINER SHIP,CONTAINER,Maersk/Sealand.  (Containers),"Florida International Terminal, LLC",18123,574.5031,31,31,31,31
PEV-18-000116,1/9/18 14:25,1/11/18 19:00,CARIBE NAVIGATOR,2d5h,GENERAL CARGO,CONTAINER,Hybur LTD.,H. T. Shipping Inc and Hybur Ltd.,2996,327.9359,16,16,16,16
PEV-18-000137,1/9/18 18:15,1/10/18 11:00,S/V WARRIOR,17h,YACHT,LAY-IN,Owner (Misc Vessel) Not Listed.,STEVEDORE NOT REQUIRED,49,76.5,3,3,3,3
PEV-18-000104,1/9/18 18:30,1/10/18 15:20,FENG HUANG AO,21h,TANKER,ASPHALT,Valt Asphalt Sagl,TPSI Terminals L.L.C.,10377,479.3541,5,5,5,5
PEV-17-004402,1/9/18 21:15,1/11/18 7:50,JAUME I,1d11h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-000122,1/10/18 0:20,1/11/18 20:00,S/R AMERICAN PROGRESS,1d20h,TANKER,PETROLEUM,"Seariver Maritime, Inc.",ExxonMobil Oil Corporation,30415,600.423,7,7,7,7
PEV-18-000123,1/10/18 2:05,1/10/18 23:40,K-STORM,22h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33A,33A,33A,33A
